Sequence,P,Q,p,D_mod_p,chi_D,Inert,Q_eq_minus1_mod_p,PolyIrreducible,NormByConjugation,NormByFieldMap,NormEqualsQ,NormEqualsMinusOne,NormFibre_DirectValidation,T,T_even,T_divides_2(p+1),T_not_divides_(p+1),UniqueOrder2ElementIn<lambda>,HalfInvolution_StructuralDerivation,HalfInvolution_DirectCheck,det(A)=Q,trace(A)=P,Eigen_to_Matrix_Bridge,A^(T/2)=-I,A^T=I,U_AntiPeriodic_State,V_AntiPeriodic_State,U_AntiPeriodic_Sequence,V_AntiPeriodic_Sequence,CharSum_U,CharSum_V,CharSumsVanish,algebraic_success,structural_success,matrix_success,dynamical_success,pipeline_success,Status
Fibonacci,1,-1,3,2,-1,True,True,True,(2 + 0*λ mod 3),2,True,True,True,8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci,1,-1,7,5,-1,True,True,True,(6 + 0*λ mod 7),6,True,True,True,16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Pell,2,-1,3,2,-1,True,True,True,(2 + 0*λ mod 3),2,True,True,True,8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Pell,2,-1,5,3,-1,True,True,True,(4 + 0*λ mod 5),4,True,True,True,12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,N/A,N/A,N/A,True,True,True,True,True,Success
"U(3,-1)",3,-1,5,3,-1,True,True,True,(4 + 0*λ mod 5),4,True,True,True,12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,N/A,N/A,N/A,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,7,5,-1,True,True,True,(6 + 0*λ mod 7),6,True,True,True,16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,23,5,-1,True,True,True,(22 + 0*λ mod 23),22,True,True,True,48,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,43,5,-1,True,True,True,(42 + 0*λ mod 43),42,True,True,True,88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,47,5,-1,True,True,True,(46 + 0*λ mod 47),46,True,True,True,32,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,67,5,-1,True,True,True,(66 + 0*λ mod 67),66,True,True,True,136,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,83,5,-1,True,True,True,(82 + 0*λ mod 83),82,True,True,True,168,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,103,5,-1,True,True,True,(102 + 0*λ mod 103),102,True,True,True,208,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,107,5,-1,True,True,True,(106 + 0*λ mod 107),106,True,True,True,72,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,127,5,-1,True,True,True,(126 + 0*λ mod 127),126,True,True,True,256,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,163,5,-1,True,True,True,(162 + 0*λ mod 163),162,True,True,True,328,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
Fibonacci_Scan,1,-1,167,5,-1,True,True,True,(166 + 0*λ mod 167),166,True,True,True,336,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,Success
